,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
0,0,1,1,0,58.83287671232877,3.106849315068493,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,52.35616438356164,8.35890410958904,1,0,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2,1,0,1,0,52.35616438356164,8.35890410958904,1,0,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3,0,1,1,0,46.224657534246575,2.106849315068493,1,1,1,1,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4,1,1,0,0,29.23013698630137,3.021917808219178,1,0,0,0,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
5,1,1,0,0,29.23013698630137,3.021917808219178,1,0,0,0,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
6,1,0,1,0,27.48219178082192,4.024657534246575,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
7,1,0,1,0,27.48219178082192,4.024657534246575,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
8,1,0,1,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
9,1,0,1,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
10,0,1,1,3,34.76438356164383,3.186301369863014,1,0,0,0,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
